date,name,value,category
2016-12-14,Energy,6,World
2016-12-08,Information Technology,16,
2016-12-13,Energy,16,
2016-12-13,,6,Northern America
2016-12-13,,6,
2016-12-11,,8,
2016-12-11,Retail,32,Northern America
2016-12-11,,8,Northern America
2016-12-15,Energy,4,South America
2016-12-08,Energy,4,Central America
2016-12-15,Energy,12,
2016-12-12,Energy,16,World
2016-12-13,Energy,6,Northern America
2016-11-30,Energy,12,
2016-06-26,Automotive,6,
2016-04-11,Construction,12,
2016-04-11,Energy,16,World
2016-01-18,Energy,6,World
2016-01-18,Energy,6,World
2016-01-18,,16,Southern Asia
2016-01-18,Financial services,6,Eastern Asia
2016-01-18,Financial services,6,Northern America
2016-01-18,,16,World
2016-12-12,Energy,6,
2016-01-26,,12,
2016-01-26,Retail,6,Southern Asia
2016-01-26,Government,16,Western Europe
2016-01-26,,16,Southern Europe
2016-01-26,Retail,4,Northern Europe
2016-01-26,Energy,12,
2016-01-26,Retail,16,Northern America
2016-12-13,Energy,20,World
2016-12-08,,16,
2016-12-15,Food & agriculture,20,South-Eastern Asia
2016-12-17,Manufacturing,12,
2016-12-17,Energy,9,
2016-12-11,Energy,12,
2016-12-12,Retail,12,
2016-12-11,Energy,16,
2016-12-11,Energy,12,World
2016-12-11,Environment,4,
2016-12-13,Government,9,Northern Africa
2016-12-17,,9,Northern America
2016-12-12,,6,World
2016-12-15,Support services,6,
2016-11-28,Energy,12,
2016-12-15,Energy,8,Europe
2016-12-15,Energy,6,Western Africa
2016-12-11,Manufacturing,12,
2016-12-15,,12,
2016-12-15,Energy,12,
2016-12-13,Energy,6,Eastern Europe
2016-12-14,Energy,8,World
2016-12-15,Financial services,8,
2016-12-08,Energy,16,World
2016-12-11,Energy,12,
2016-12-11,Energy,8,World
2016-12-13,Manufacturing,12,
2016-12-12,Energy,24,
2016-12-12,,8,World
2016-11-30,Energy,8,Oceania
2016-12-08,Manufacturing,6,Eastern Europe
2016-12-05,Energy,9,Europe
2016-12-10,Energy,14,Northern America
2016-12-07,,12,
2016-12-07,,12,
2016-12-09,Energy,16,World
2016-12-09,,20,World
2016-11-30,Energy,16,
2016-12-06,Aerospace & defence,16,Europe
2016-12-06,Energy,6,Africa
2016-12-06,,6,Africa
2016-11-29,Energy,6,Northern America
2016-12-07,Energy,6,Northern America
2016-12-02,Manufacturing,9,
2016-12-05,Energy,20,
2016-12-03,Automotive,10,World
2016-12-04,Energy,16,World
2016-12-04,Energy,12,
2016-12-04,Energy,12,Europe
2016-12-01,,8,
2016-12-01,Financial services,16,Southern Asia
2016-12-01,,4,
2016-01-27,Financial services,72,Southern Asia
2016-01-13,Energy,16,Eastern Asia
2016-11-21,Aerospace & defence,20,Northern America
2015-12-07,Financial services,6,
2015-12-07,Energy,6,
2015-12-07,Financial services,12,
2016-06-16,Energy,6,
2015-12-09,Energy,6,Oceania
2016-11-30,Energy,6,
2016-01-17,Government,6,Eastern Asia
2016-11-07,Energy,24,
2016-12-01,Manufacturing,48,Northern America
2016-12-02,Retail,6,Western Asia
2016-12-02,Energy,8,
2016-11-28,,12,Oceania
2016-12-01,Information Technology,6,Northern America
2016-11-30,Support services,12,
2016-04-02,Retail,6,
2016-04-02,Financial services,12,
2016-11-29,,16,
2016-11-29,Energy,6,Eastern Asia
2016-11-02,Construction,16,
2016-11-29,Energy,6,World
2016-11-27,Environment,4,
2016-11-29,Energy,6,World
2016-11-29,Retail,9,Asia
2016-11-27,Energy,16,
2016-11-27,Energy,6,
2016-11-21,Energy,4,
2016-02-24,,12,Northern America
2016-02-24,Energy,12,
2016-11-06,Energy,4,Southern Asia
2016-11-22,Retail,9,Northern Africa
2016-11-17,,12,Southern Asia
2016-11-20,Energy,3,Western Africa
2016-11-19,Energy,4,Western Asia
